"id"	"trader_id"	"exchange_id"	"exchange_type"	"order_id"	"exchange_order_id"	"exchange_trade_id"	"symbol"	"side"	"price"	"quantity"	"quote_quantity"	"commission"	"commission_asset"	"realized_pnl"	"is_maker"	"created_at"
"58"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"58"	"99491662"	"99491662"	"SIRENUSDT"	"BUY"	"0.36434"	"28"	"10.20152"	"0.00510076"	"USDT"	"0"	"0"	"1772075739099"
"59"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"59"	"99491663"	"99491663"	"SIRENUSDT"	"BUY"	"0.36434"	"5"	"1.8217"	"0.00091085"	"USDT"	"0"	"0"	"1772075739099"
"60"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"60"	"99491664"	"99491664"	"SIRENUSDT"	"BUY"	"0.36435"	"2"	"0.7287"	"0.00036435"	"USDT"	"0"	"0"	"1772075739099"
"61"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"61"	"7626023952"	"7626023952"	"ETHUSDT"	"BUY"	"2049.6"	"0.026"	"53.2896"	"0.0266448"	"USDT"	"0"	"0"	"1772076623705"
"62"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"62"	"99558986"	"99558986"	"SIRENUSDT"	"SELL"	"0.37073"	"28"	"10.38044"	"0.00519022"	"USDT"	"0.1792473"	"0"	"1772076912825"
"63"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"63"	"99558987"	"99558987"	"SIRENUSDT"	"SELL"	"0.37072"	"28"	"10.38016"	"0.00519007"	"USDT"	"0.1789673"	"0"	"1772076912825"
"64"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"64"	"99558988"	"99558988"	"SIRENUSDT"	"SELL"	"0.37071"	"28"	"10.37988"	"0.00518993"	"USDT"	"0.1786873"	"0"	"1772076912825"
"65"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"65"	"99558989"	"99558989"	"SIRENUSDT"	"SELL"	"0.3707"	"28"	"10.3796"	"0.00518979"	"USDT"	"0.1784073"	"0"	"1772076912825"
"66"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"66"	"99558990"	"99558990"	"SIRENUSDT"	"SELL"	"0.37069"	"28"	"10.37932"	"0.00518965"	"USDT"	"0.1781273"	"0"	"1772076912825"
"67"	"297a6f45_ad703a4d-5d6d-4799-b426-b6f28df27182_deepseek_1771899406"	"297a6f45-8db4-43d2-b4d3-dbee9f625172"	"binance"	"67"	"99558991"	"99558991"	"SIRENUSDT"	"SELL"	"0.37068"	"28"	"10.37904"	"0.00518952"	"USDT"	"0.1778473"	"0"	"1772076912825"
